Klein pizza menu 	20.00
Medium pizza menu 	24.00
Groot pizza menu 	21.00
Pasta menu 	23.00
Kleine Pizza Margherita 	7.50
Kleine Pizza Margherita 	7.50
Kleine Pizza Salami 	7.50
Kleine Pizza Peperoni 	7.50
Kleine Pizza Prosciutto 	7.50
Kleine Pizza Hawaï 	7.50
Kleine Pizza Hawaï speciaal 	7.50
Kleine Pizza Kalkoenham 	7.50
Kleine Pizza Tonijn 	7.50
Kleine Pizza Napolitano 	7.50
Kleine Pizza Funghi 	7.50
Kleine Pizza Frutti di mare 	7.50
Kleine Pizza Njam Njam 	7.50
Kleine Pizza Njam Njam (speciaal) 	7.50
Kleine Pizza Vegetarisch 	7.50
Kleine Pizza Bolognese 	7.50
Kleine Pizza Capriciosa 	7.50
Kleine Pizza 4 Seasons 	7.50
Kleine Pizza Spinazie 	7.50
Kleine Pizza Calzone 	7.50
Kleine Pizza 4 fromaggio 	7.50
Kleine Pizza Mozzarella basilico 	7.50
Kleine Pizza Rimini 	7.50
Kleine Pizza Gorgonzola 	7.50
Kleine Pizza Scampis 	7.50
Kleine Pizza Kip 	7.50
Kleine Pizza Kip (speciaal) 	7.50
Kleine Pizza Paprika 	7.50
Kleine Pizza Paprika (speciaal) 	7.50
Kleine Pizza met eieren 	7.50
Kleine Pizza San marino 	7.50
Kleine Pizza Italiano 	7.50
Kleine Pizza Pollo 	7.50
Kleine Pizza Biancaneve 	7.50
Kleine Pizza Mare-e-monti 	7.50
Kleine Pizza Met love 	7.50
Kleine Pizza Sneeuw 	7.50
Kleine Pizza Mama mia 	7.50
Kleine Pizza Full option 	7.50
Kleine Pizza Quatro stelle 	7.50
Kleine Pizza Bbq 	7.50
Kleine Pizza Curry 	7.50
Medium Pizza Peperoni 	9.50
Medium Pizza Bbq 	9.50
Medium Pizza Margherita 	9.50
Medium Pizza Salami 	9.50
Medium Pizza Peperoni 	9.50
Medium Pizza Prosciutto 	9.50
Medium Pizza Hawaï 	9.50
Medium Pizza Hawaï speciaal 	9.50
Medium Pizza Kalkoenham 	9.50
Medium Pizza Tonijn 	9.50
Medium Pizza Napolitano 	9.50
Medium Pizza Funghi 	9.50
Medium Pizza Frutti di mare 	9.50
Medium Pizza Njam Njam 	9.50
Medium Pizza Njam Njam (speciaal) 	9.50
Medium Pizza Vegetarisch 	9.50
Medium Pizza Bolognese 	9.50
Medium Pizza Capriciosa 	9.50
Medium Pizza 4 Seasons 	9.50
Medium Pizza Spinazie 	9.50
Medium Pizza Calzone 	9.50
Medium Pizza 4 fromaggio 	9.50
Medium Pizza Mozzarella basilico 	9.50
Medium Pizza Rimini 	9.50
Medium Pizza Gorgonzola 	9.50
Medium Pizza Scampis 	9.50
Medium Pizza Kip 	9.50
Medium Pizza Kip (speciaal) 	9.50
Medium Pizza Paprika 	9.50
Medium Pizza Paprika (speciaal) 	9.50
Medium Pizza met eieren 	9.50
Medium Pizza San marino 	9.50
Medium Pizza Italiano 	9.50
Medium Pizza Pollo 	9.50
Medium Pizza Biancaneve 	9.50
Medium Pizza Mare-e-monti 	9.50
Medium Pizza Met love 	9.50
Medium Pizza Sneeuw 	9.50
Medium Pizza Mama mia 	9.50
Medium Pizza Full option 	9.50
Medium Pizza Quatro stelle 	9.50
Medium Pizza Bbq 	9.50
Medium Pizza Curry 	9.50
Medium Pizza Half-half 	10.50
Grote Pizza Margherita 	13.50
Grote Pizza Salami 	13.50
Grote Pizza Peperoni 	13.50
Grote Pizza Prosciutto 	13.50
Grote Pizza Hawaï 	13.50
Grote Pizza Hawaï speciaal 	13.50
Grote Pizza Kalkoenham 	13.50
Grote Pizza Tonijn 	13.50
Grote Pizza Napolitano 	13.50
Grote Pizza Funghi 	13.50
Grote Pizza Frutti di mare 	13.50
Grote Pizza Njam Njam 	13.50
Grote Pizza Njam Njam (speciaal) 	13.50
Grote Pizza Vegetarisch 	13.50
Grote Pizza Bolognese 	13.50
Grote Pizza Capriciosa 	13.50
Grote Pizza 4 Seasons 	13.50
Grote Pizza Spinazie 	13.50
Grote Pizza Calzone 	13.50
Grote Pizza 4 fromaggio 	13.50
Grote Pizza Mozzarella basilico 	13.50
Grote Pizza Rimini 	13.50
Grote Pizza Gorgonzola 	13.50
Grote Pizza Scampis 	13.50
Grote Pizza Kip 	13.50
Grote Pizza Kip (speciaal) 	13.50
Grote Pizza Paprika 	13.50
Grote Pizza Paprika (speciaal) 	13.50
Grote Pizza met eieren 	13.50
Grote Pizza San marino 	13.50
Grote Pizza Italiano 	13.50
Grote Pizza Pollo 	13.50
Grote Pizza Biancaneve 	13.50
Grote Pizza Mare-e-monti 	13.50
Grote Pizza Met love 	13.50
Grote Pizza Sneeuw 	13.50
Grote Pizza Mama mia 	13.50
Grote Pizza Full option 	13.50
Grote Pizza Quatro stelle 	13.50
Grote Pizza Bbq 	13.50
Grote Pizza Curry 	13.50
Grote Pizza Half-half 	14.50
Pasta Sorrentino 	9.00
Pasta Vegetariana 	9.00
Pasta Bolognese 	9.00
Pasta 4 formaggi 	9.00
Pasta Frutti di mare 	9.00
Pasta Cervinara 	9.00
Pasta Lupara 	9.00
Pasta Scampi 	9.00
Pasta Alfredino 	9.00
Pasta Milano 	9.00
Pasta Veneziana 	9.00
Pasta Napoletana 	9.00
Pasta Fiorentina 	9.00
Pasta Toscana 	9.00
Pasta Adriatica 	9.00
Mozzarella sticks (5 stuks) 	3.50
Mozzarella sticks (10 stuks) 	6.00
Mini vegetarisch loempias (5 stuks) 	3.00
Mini vegetarisch loempias (10 stuks) 	5.50
Lookbrood met boter 	3.00
Lookbrood met kaas 	4.00
Lookbrood met kalkoenham 	4.00
Lookbrood met ananas 	4.00
Lookbrood met salami 	4.00
Usa potatoes 200gr	3.00
Usa potatoes 400gr	5.00
Chicken wings (6 stuks)	4.00
Chicken wings (12 stuks)	7.00
Chicken nuggets (6 stuks) 	4.00
Chicken nuggets (12 stuks) 	7.00
Coca-Cola 33cl 	1.50
Coca-Cola light 33cl	1.50
Coca-Cola zero sugar 33cl	1.50
Sprite Regular 33cl 	1.50
Fanta Orange 33cl	1.50
Ice tea 33cl	1.50
Ice tea green 33cl	1.50
Gini 33cl 	1.50
Spa plat 33cl	1.50
Tropico 33cl 	1.50
Redbull 25cl 	2.00
Multivitamine 1L	2.70
Coca-Cola 1.5L	3.00
Fanta Orange 1.5L	3.00
Sprite Regular 1.5L 	3.00
Ice tea 1.5L	3.00
Ben & jerrys cookie dough 100ml 	3.50
Ben & jerrys chunky monkey 100ml 	3.50
Ben & jerrys chocolate fudge brownie 100ml 	3.50
Ben & jerrys peanut butter cup 100ml 	3.50
Caramel chew chew 100ml 	3.50
Ben & jerrys cookie dough 500ml 	7.50
Ben & jerrys chunky monkey 500ml 	7.50
Ben & jerrys chocolate fudge brownie 500ml 	7.50
Ben & jerrys strawberry cheesecake 500ml 	7.50
Ben & jerrys peanut butter cup 500ml 	7.50
Ben & jerrys half baked 500ml 	7.50
Bob marleys one love 500ml 	7.50
One sweet world 500ml 	7.50
Cookie dough swich up 500ml 	7.50
Vanilla pecan blondie 500ml 	7.50
Blondie brownie core 500ml 	7.50
Karamel sutra core 500ml 	7.50